                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7111,                 2.0861,                 1.3324,                0.73398,                0.28381,                0.28548,                0.15366,                    nan,                    nan,                    nan,              0.0033299,              0.0033299,              0.0033299
                      2,                 1.6434,                 1.5431,                 1.2773,                0.77818,                0.29816,                0.30191,                0.18255,                    nan,                    nan,                    nan,              0.0066412,              0.0066412,              0.0066412
                      3,                 1.7168,                 1.5313,                 1.3407,                0.69672,                0.28074,                0.28324,                0.16577,                    nan,                    nan,                    nan,              0.0099306,              0.0099306,              0.0099306
                      4,                 1.7793,                 1.5182,                 1.3884,                0.73533,                0.28074,                 0.2958,                0.16885,                    nan,                    nan,                    nan,               0.009901,               0.009901,               0.009901
                      5,                 1.7645,                 1.4414,                 1.4071,                0.77239,                0.27971,                0.29267,                  0.173,                    nan,                    nan,                    nan,               0.009868,               0.009868,               0.009868
                      6,                 1.7114,                 1.3416,                 1.3829,                0.72135,                0.25922,                0.28097,                0.14603,                    nan,                    nan,                    nan,               0.009835,               0.009835,               0.009835
                      7,                 1.6961,                 1.3216,                 1.3736,                0.74133,                0.28893,                0.30996,                0.18459,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                      8,                 1.6688,                 1.2768,                 1.3507,                 0.7026,                0.29289,                0.30002,                0.17308,                    nan,                    nan,                    nan,               0.009769,               0.009769,               0.009769
                      9,                 1.6575,                 1.2096,                 1.3434,                  0.789,                0.29883,                0.32124,                0.19599,                    nan,                    nan,                    nan,               0.009736,               0.009736,               0.009736
                     10,                 1.6267,                 1.1691,                 1.3173,                0.88795,                0.30042,                0.33649,                0.21498,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
