                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9267,                 1.8612,                 1.2086,                0.28378,                0.01515,                 0.0125,                0.00664,                    nan,                    nan,                    nan,             0.00066563,             0.00066563,             0.00066563
                      2,                 1.8831,                 1.3642,                 1.2505,                0.19121,                0.01818,                0.01518,                0.00625,                    nan,                    nan,                    nan,              0.0013059,              0.0013059,              0.0013059
                      3,                 1.9079,                 1.2858,                 1.2496,                0.28615,                0.01818,                0.02049,                 0.0116,                    nan,                    nan,                    nan,              0.0019198,              0.0019198,              0.0019198
                      4,                 1.8401,                 1.2213,                 1.2453,                0.44493,                0.01515,                0.02964,                0.01779,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.8449,                 1.1811,                 1.2187,                0.27661,                0.02424,                0.04032,                0.02037,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.7857,                  1.106,                 1.2122,                0.35572,                0.02424,                0.04248,                0.02263,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      7,                 1.7664,                  1.073,                 1.2028,                0.32568,                0.02424,                0.03874,                0.02004,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.7284,                 1.0529,                 1.1836,                0.18212,                0.02121,                0.03517,                  0.017,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.7098,                 1.0078,                 1.1761,                 0.3994,                0.02121,                0.04622,                0.02385,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.6983,                 0.9943,                 1.1495,                0.28097,                0.02121,                 0.0392,                0.02079,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.6711,                0.97306,                 1.1369,                0.26175,                0.02121,                 0.0573,                0.03211,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     12,                  1.688,                0.97798,                 1.1497,                0.65063,                0.02121,                0.05221,                0.02862,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.6513,                0.94657,                 1.1406,                0.27401,                0.02121,                0.05702,                0.03115,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.6357,                0.92558,                 1.1218,                0.26577,                0.02121,                 0.0551,                0.03038,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
